user,ts,score_diff,event
user_4,2016-07-06 07:24:28.227918,3,view_category
user_2,2016-07-02 23:26:46.299452,0.5,view_item
user_0,2016-07-02 15:14:58.209618,1.5,view_item
user_4,2016-07-07 05:46:56.317234,0,view_category
user_3,2016-07-07 19:18:40.982697,3,buy
user_1,2016-07-04 01:46:14.309498,2,view_item
user_4,2016-07-02 20:29:23.874265,0.5,view_category
user_1,2016-07-01 15:10:38.466582,1,view_item
user_2,2016-07-05 09:41:15.593729,0.5,view_item
user_2,2016-07-03 05:00:38.426347,2,view_category
user_4,2016-07-05 16:34:11.964779,0,view_item
user_1,2016-07-08 15:33:28.676543,1.5,view_item
user_1,2016-07-02 23:53:54.166578,1,view_category
user_1,2016-07-08 23:23:12.533794,0,login
user_1,2016-07-07 04:23:37.445259,1,view_category
user_3,2016-07-04 00:14:43.216233,0,view_item
user_1,2016-07-03 23:56:49.046707,1.5,view_item
user_5,2016-07-06 06:43:06.766028,2,view_item
user_2,2016-07-07 08:36:59.780348,1.5,view_item
user_4,2016-07-02 13:58:15.054603,1,view_category
user_1,2016-07-01 19:01:18.245274,3,view_category
user_5,2016-07-08 00:48:28.418078,1,login
user_3,2016-07-05 13:27:56.603994,0,buy
user_0,2016-07-03 21:18:38.324727,3,view_category
user_0,2016-07-07 23:21:20.002923,2,login
user_3,2016-06-30 22:59:34.771096,2,view_item
user_3,2016-07-05 16:16:30.113286,1,view_category
user_1,2016-07-01 20:52:37.815341,2.5,view_category
user_4,2016-07-09 07:07:21.910733,0.5,view_item
user_2,2016-07-01 10:01:16.181678,2,view_category
user_0,2016-07-04 04:42:13.509509,1.5,view_category
user_0,2016-07-06 14:09:45.167912,1,view_category
user_0,2016-07-08 06:41:21.478583,0,view_item
user_1,2016-07-04 12:32:53.611312,3,view_category
user_2,2016-07-04 12:42:10.626706,2.5,view_item
user_0,2016-07-08 17:06:38.320387,1,view_category
user_0,2016-07-08 10:23:15.408013,0,view_category
user_2,2016-07-05 03:45:05.893049,0.5,view_item
user_0,2016-07-02 17:21:49.247702,1,view_category
user_5,2016-06-30 13:35:35.114182,3,view_item
user_1,2016-07-07 14:16:52.218176,1.5,view_item
